"Title","Description","Price","Condition","Ad Posted Date","Username of Seller"
"MSI G27C4X 27"" 250 Hz Curved Gaming Monitor","About this item EXTREME IMMERSION, FRAMELESS GAMING - MSI curved monitors deliver a more immersive gaming experience with an optimal viewing-distance 1500R curvature (1500mm radius) and 'frameless' design, which reduces bezel lines between screens 27” WQHD, 250HZ VA - The high definition 1920 x 1080 VA panel (16:9 aspect ratio) features a high 250 Hz refresh rate for smooth aiming/movement tracking; A very low 1ms response time is ideal for esports events","रू. 35,000","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Philips 271V8 1080P IPS Panel 100HZ FHD Monitor","About this item 27"" Philips Monitor Wide vIew Monitor IPS Panel 4 ms Response Time HDMI /VGA Port 100 Hz Refresh Rate Adjustable Stand","रू. 21,500","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"BenQ ZOWIE XL2411K 24-Inch 144Hz Gaming Monitor","About this item 144Hz refresh rate performance for a smooth gaming experience Supports 120Hz gaming on consoles (PS5 & Xbox Series X) Dynamic Accuracy technology makes vigorous in-game actions such as spraying less blur Smaller base takes up less space, allowing gamer more space in their set-up for in-game movements Increased height adjustment range and free tilt design provides more flexibility based on your personal preference","रू. 29,900","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"BenQ PD2705U 27"" 4K UHD | IPS Mac-Ready Monitor","About this item Ideal for Professionals: 27 Inch 4K UHD IPS FreeSync computer monitor is factory calibrated for color accuracy and comes with a report straight from the manufacturer Experience Excellent Color Coverage: 100% sRGB rec. 709 color gamut and average Delta E ≤3 for high color accuracy. CalMan and Pantone SkinTone validated. AQCOLOR Technology: Developed by BenQ that reproduces accurate colors on professional monitors. Work with colors you can trust. ICC Syn Compatible with Display P3c","रू. 76,000","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Desk Mount Bracket For 55"" Monitor HB-5055-H","Desk Mount Bracket for 55"" Monitor Dimensions : 243(W)×70(H)×66(D) Weight : 0.12 Kg Applicable Model : MW3255-F-V","रू. 1,250","| Brand New","1 months ago","Rhythm Kala Suppliers 9851126504"
"BenQ GW2485TC 24"" 1080p IPS Full HD Monitor","About this item Display: 24” Full HD Ultra-Slim IPS Monitor with 1920 x 1080 resolution, 250nits brightness Aspect Ratio: 16:9 |Viewing Angle (L/R) (CR>=10) 178°/178° Eye Care: Anti-Glare, Proprietary Brightness Intelligence, Low Blue Light Plus, flicker-free technology, e-Paper Mode. Daisy Chain: Connects multiple monitors with single display out from the source using Daisy Chain setup for a decluttered workspace","रू. 31,000","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"BenQ GW2490 23.8"" 1080p FHD IPS Monitor| 100Hz","About this item 【Display】 24 inch 1300:1 CR IPS Full HD 100Hz Monitor, 99% sRGB for vibrant colors, Ultra-Slim Bezel with Coding Mode, ePaper Mode and Mbook Mode. 【100Hz Refresh Rate】Enjoy smooth and fluid visuals with our monitor's lightning-fast 100Hz refresh rate, reducing lag and motion blur for a more immersive viewing experience 【Professional 99% sRGB Color Gamut】","रू. 18,800","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"MSI -G32C4A 32"" FHD 165HZ CORVED MONITOR","MSI -G32C4A 32"" FHD 165HZ CORVED MONITOR","रू. 59,000","| Brand New","1 years ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Hikvision 32 Inch FHD Monitor DS-D5032QE","32"" Hikvision DS-D5032QE LED CCTV FHD Monitor LED Monitor for CCTV Surveillance with HDMI DVI & VGA Inputs Compatible with all Hikvision NVR's & DVR's LED backlit technology with full HD 1920 x 1080 32"" LED backlight monitor 16.7 million colors display images perfectly Multiple interfaces: HDMI, VGA, DVI, audio in, audio out Wide viewing angle: Horizontal 178°, Vertical 178° 24/7 operation High reliability and stability，24/7 operation LED backlit technology with full HD 1920×1080","रू. 34,500","| Brand New","4 days ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"BenQ GW2785TC 27"" 1080P IPS Full HD Monitor","About this item Display: 27” Full HD Ultra-Slim IPS Monitor with 1920 x 1080 resolution, 250nits brightness Aspect Ratio: 16:9 |Viewing Angle (L/R) (CR>=10) 178°/178° Eye Care: Anti-Glare, Proprietary Brightness Intelligence, Low Blue Light Plus, flicker-free technology, e-Paper Mode. Daisy Chain: Connects multiple monitors with single display out from the source using Daisy Chain setup for a decluttered workspace","रू. 41,200","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Dell S2721HN 27'' IPS 75HZ Full HD Monitor","Brand : Dell Diagonal Size : 27"" Adaptive-Sync Technology : AMD FreeSync Panel Type : IPS Aspect Ratio : 16:9 Native Resolution : Full HD (1080p) 1920 x 1080 at 75 Hz Pixel Pitch : 0.3114 mm Pixel Per Inch : 81.59 Brightness : 300 cd/m² Contrast Ratio : 1000:1 Color Support : 16.7 million colors Color Gamut : 99% sRGB Response Time : 4 MS (gray-to-gray extreme) Horizontal Viewing Angle : 178 Vertical Viewing Angle : 178 Screen Coating : Anti-glare, 3H Hard Coating Backlight Technology : LED back","रू. 22,999","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Hikvision 43 Inch Monitor DS-D5043QE","LED backlit technology with full HD 1920 x 1080 43"" LED backlight monitor 16.7 million colors display images perfectly Multiple interfaces: HDMI, VGA, audio in Built-in speaker Wide viewing angle: Horizontal 178°, Vertical 178° 24/7 operation LED backlit technology with full HD 1920×1080 16.7 million color, display picture perfectly HDMI support up to 1080P Multiple inputs: HDMI, VGA","रू. 51,300","| Brand New","4 days ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Acer Nitro Xv272U V3 27 Inch IPS 180Hz 2K Monitor","About this item 27 Inch IPS Agile Splendor WQHD (2560 x 1440) Resolution Gaming Monitor I 350 Nits Brightness I DCI-P3 95% color gamut for color accuracy I VESA Display HDR 400 I No Color Difference with Delta E<1 I Fast liquid crystal I Black boost technology 180 Hz Rapid Refresh Rate for Outstanding fluidity of images and helps shorten the time it takes for frame rendering, lower input lag and provide gamers an excellent in-game experience I 0.5 MS Response time Reduce Ghost & smearing effect","रू. 39,000","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"North Bayou Single Monitor Arm Desk Mount NB-F80","NB North Bayou Monitor Desk Mount Stand Full Motion Swivel Monitor Arm with Gas Spring for 17-30”Monitors(Within 4.4lbs to 19.8lbs) Computer Monitor Stand F80 Long Extension Built-in quality Gas Spring Easy Installation Swivel Flexibility Tilt +85° and -30° 360° Rotation","रू. 3,999","| Brand New","7 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Acer Nitro Vg280K Uhd 4K (3840 X 2160) IPS Monitor","About this item 28 Inch UHD 4K resolution on a vibrant, colour-accurate IPS display with 300 Nits Brightness I IPS Zero Frame Monitor with AMD FreeSync Technology 2 X HDMI 1 X Display Port with inbox HDMI Cable, 60Hz refresh rate 4 MS Response Time, 2W X 2 Speakers AMD Radeon FreeSync ends choppy gameplay and broken frames with fluid, artefact-free performance at virtually any framerate","रू. 44,999","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Acer Nitro ED320QR S3 31.5"" 165Hz Curved Monitor","Key Features MPN: UM.JE0SG.301 Model: Acer Nitro ED320QR S3 31.5"" Resolution: FHD (1920 x 1080) Display: VA, 165Hz, 1ms Ports: 2 x HDMI, 1 x DP, 1 x Audio out Features: AMD FreeSync Premium technology","रू. 35,000","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"BenQ EW3280U 32 Inch 4K IPS Premium Monitor","About this item Your #1 Source of Entertainment: Experience endless entertainment with this 32 Inch 4K IPS UHD computer monitor featuring a stunning 4K display. USB-C Connectivity: Synchronize images, videos, data and charge all of your mobile devices with an all-in-one cable and 60W power delivery! Easily access your settings with the remote control. HDRi Optimization: Get ready for a cinematic experience thanks to the HDRi optimization which improves contrast and colors of the image.","रू. 96,300","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"NB North Bayou F150, 17"" To 27"" Monitor Arm","About this item Fits most 17""-27"" monitors, Support load from 2.5-7 kg VESA compliant 75x75, 100x100 mm, Upright lift distance: 6.2” (155mm) Rotation: 180°, Swivel:180°+, Tilt angle: +30° to -50° Desktop clamp grip range (desk thickness) - 25mm to 95mm","रू. 4,200","| Brand New","6 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"MSI G2412 23.8 Inch Full HD IPS 170Hz Monitor","About this item STUNNING VISUALS: The MSI G2412 is a high-performance gaming monitor that boasts a 23.8-inch Full HD IPS display with a resolution of 1920x1080 pixels, delivering crisp and clear images for an immersive gaming experience. AMD FREE SYNC PREMIUM TECHNOLOGY: This synchronises the display's refresh rate with the frame rate of your graphics card, eliminating screen tearing and stuttering for a seamless gaming experience. With a 170Hz refresh rate and 1ms response time.","रू. 24,500","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Mi Xiaomi A22I 21.4"" IPS 75HZ Fhd Monitor","Screen size -21.45"" Maximum resolution-1920 x 1080 HDMI maximum refresh rate -75Hz Brightness -250 nits (typ) Color depth -16.7 million Aspect ratio-16:9 Contrast ratio: 3000:1 (typ) Product model -A22FAB-RAGL Power input -12V⎓2.0A Rated power *24W Max. Dimensions -493 (L) x 165 (W) x 376 (H) mm Product net weight -2.2kg Operating temperature -0°C–40°C Operating humidity -20%–80%RH","रू. 12,000","| Brand New","6 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"MSI G27C4 E2, 27"" 170Hz FreeSync Gaming Monitor","About this item 27"" LED backlight (1920 x 1080 full HD) 170Hz refresh rate - Display without after image. 1ms response time helps eliminate screen tearing and choppy frame rates Wide view angle - 178° visible. Adaptive sync - keep screen tearing away from your monitor.","रू. 30,500","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"SAMSUNG 27"" T35F FHD 1080p 75Hz, IPS Monitor","About this item ALL-EXPANSIVE VIEW: The 3-sided borderless display brings a clean and modern aesthetic to any working environment. In a multi-monitor setup, the displays line up seamlessly for a virtually gapless view without distractions.Aspect ratio:16:9.Response time:5.0 milliseconds","रू. 24,000","| Brand New","8 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"NB North Bayou H180 Dual Monitor Desk Mount Stand","About this item ☑ ULTRA WIDE LONG ARM- with ultra wide and longer arm fits most monitor from 22~ 32'' monitors with load capacity within 4.4~ 26.4lbs (2-12KG) for each monitor, Holds 2 monitors on 1 stand , Perfect solution for 2 screens daily work. ☑ VESA-COMPLIANT PATTERNS 75x75mm and 100x100mm; While if your VESA hole is inside a recession area, Pls noted that the size of the whole VESA Plate of this product is 118*118mm, Extra Longer Screw & Screw spacer may be needed in order to make it fit","रू. 6,500","| Brand New","6 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"LG 27GQ50F-B 27 Inch Full HD 165Hz 1ms Monitor","LG 27GQ50F-B 27 Inch Full HD (1920 x 1080) Ultragear Gaming Monitor with 165Hz and 1ms Motion Blur Reduction, AMD FreeSync Premium and 3-Side Virtually Borderless Design,Black","रू. 31,000","| Brand New","8 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"BenQ EW3270U 32"" 4K UHD Eye-Care Monitor","About this item Your #1 Source of Entertainment: Experience endless entertainment with the 32 Inch 4K Computer Monitor featuring a stunning 4K display. Built-In Speakers: Free up desk space with a built-in sound system that delivers premium audio. USB-C Connectivity: Synchronize images, videos, data and charge all of your mobile devices with an all-in-one cable! HDRi Optimization: Get ready for a cinematic experience thanks to the HDRi optimization which improves contrast and colors of the image","रू. 63,000","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Uniarch 32"" LED FHD Monitor MW3232-V-K","32"" LED FHD Monitor 3 MW3232-V-K Display Type: LED Backlight | Max Resolution : 1920*1080 Aspect Ratio : 16:9 | Input : VGA*1 | HDMI*1 | Audio*1 Accessories : HDMI cable | Adapter | Quick guide","रू. 41,250","| Brand New","1 months ago","Rhythm Kala Suppliers 9851126504"
"MSI PRO MP251 24.5-Inch IPS 1080P 100Hz Monitor","25 inch Broadened Display – Enjoy the upgraded canvas in the limited space. 100 Hz refresh rate provides a better viewing experience with flicker-free image. TUV Certified Eyesight Protection Maintain versatility across various devices by utilizing multiple input sources, such as HDMI and D-Sub(VGA) ports. MSI EyesErgo technology with Anti-Flicker technology helps prevent eye strain and fatigue.","रू. 18,500","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"ACER NITRO KG240YM5 23.8"" 180HZ IPS GAMING MONITOR","Model KG240YM5 SIZE 23.8"" PANEL IPS MAX RATE 1920 x 1080 (FHD) Refresh Rate 180HZ Contrast 100mil:1 (ACM) Response Time 1ms VRB Colour Gamut sRGB 99% Brightness 250nits (hdr10) Input HDMI 2.0 x2 DP 1.2 x1 Audio out Height Adjust TILT ONLY VESA MOUNT yes","रू. 21,000","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"BenQ GW2790QT 27"" IPS 2k QHD Monitor","About this item Display: 27” Quad HD Ultra-Slim IPS Monitor with 2560 x 1440 resolution, 350nits brightness Aspect Ratio: 16:9 |Viewing Angle (L/R) (CR>=10) 178°/178° Eye Care: Anti-Glare, Proprietary Brightness Intelligence Plus, Low Blue Light Plus, flicker-free technology, e-Paper Mode. Daisy Chain: Connects multiple monitors with single display out from the source using Daisy Chain setup for a decluttered workspace","रू. 51,500","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"LG UltraWide FHD 29WQ600-W, IPS 29INCH Monitor","About this item At 29 inches and 21:9 screen ratio (2560x1080), this wide Full HD IPS Display features realistic, accurate color and enhanced contrast, clarity and detail at wide angles.Specific uses for product - Gaming","रू. 40,000","| Brand New","8 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"ACER KG271 27"" FHD LED 144HZ MONITOR Full HD","About this item 27"" Full HD (1920 x 1080) widescreen TN Display with AMD FreeSync technology; Tilt Angle: -5°to15° Response time: 1ms Pixel Pitch: 0.3113mm Signal inputs: 2 x HDMI & 1 x VGA","रू. 50,000","| Brand New","1 years ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Acer Nitro QG240Y_S3 23.8 Inch FHD 180Hz Monitor","Specifications : • Display : 23.8"" VA Zero Frame, Full HD (1920x1080)@180Hz • Response Time : 1ms(VRB) • Input Interface : HDMI(2.0) + DisplayPort(1.4) + Audio out • Features: sRGB 95%, HDR10, 6-Axis Color Adjustment, Super Sharpness, Bluelight Shield, Flicker Free, Comfyview, Low Dimming, Ultra low latency, Dark/Black Boost, Display Widget dan Desain Ergonomis","रू. 22,500","| Brand New","4 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
